plan_id,utility_score,cardinality_diff,attributes,rel_entropy
o_p2-n-s-c_p2-r-l_p3,21.25819477044254,0.9783597518952447,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-n-s-c_p2-r-l_p2,22.387281349305457,0.9783597518952447,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p1-n-s-c_p2-r-l_p3,23.11712629165161,0.9706409372846313,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p1-n-s-c_p2-r-l_p2,24.241807599949745,0.9706409372846313,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-n-s-c_p2-r-l_p1,24.963277669048253,0.9783597518952447,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p1-n-s-c_p2-r-l_p1,26.80775335229161,0.9706409372846313,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-n-s-c_p1-r-l_p3,34.60903896044557,0.9783597518952447,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-n-s-c_p1-r-l_p2,35.738125539308484,0.9783597518952447,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p1-n-s-c_p1-r-l_p3,36.41588051616726,0.9706409372846313,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p1-n-s-c_p1-r-l_p2,37.5405618244654,0.9706409372846313,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode, n_nationkey, n_name, n_regionkey, n_comment, s_suppkey, s_name, s_address, s_phone, s_acctbal, s_comment, r_regionkey, r_name, r_comment]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
