plan_id,utility_score
n-s-c_p2-l_p2-r-o_p2,21.682954221086778
n-s-c_p2-l_p3-r-o_p2,22.022743857256707
n-s-c_p2-l_p2-r-o_p1,23.62838183328853
n-s-c_p2-l_p3-r-o_p1,23.966801254698126
n-s-c_p1-l_p2-r-o_p2,34.83356806204119
n-s-c_p1-l_p3-r-o_p2,35.173357698211106
n-s-c_p2-l_p1-r-o_p2,35.32725722215579
n-s-c_p1-l_p2-r-o_p1,36.72596531876944
n-s-c_p1-l_p3-r-o_p1,37.06438474017903
n-s-c_p2-l_p1-r-o_p1,37.2176636583816
n-s-c_p1-l_p1-r-o_p2,48.477871063110186
n-s-c_p1-l_p1-r-o_p1,50.3152471438625
