plan_id,utility_score,cardinality_diff,attributes,rel_entropy
o_p1-c_p2-l_p3,12.180516387269883,0.038339451330886135,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
o_p1-c_p2-l_p2,12.789040632015565,0.03963398414640634,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p1-c_p2-l_p1,14.138633403829228,0.03933251760032629,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p1-c_p1-l_p3,19.18768897950018,0.038339451330886135,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
o_p1-c_p1-l_p2,19.804949302657434,0.03963398414640634,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p1-c_p1-l_p1,21.152507645251966,0.03933251760032629,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-c_p2-l_p3,31.29915120446603,1.912805234877906,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
o_p2-c_p2-l_p2,33.002078838836475,1.9163873667783866,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p2-c_p2-l_p1,36.789175572395415,1.9155716337713464,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-c_p1-l_p3,50.956045664346476,1.912805234877906,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
