"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: configuration"
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkEstimate","avgt",1,5,"3,475620","0,677222","ms/op",q1
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkEstimate","avgt",1,5,"21,866880","5,657285","ms/op",q3
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkEstimate","avgt",1,5,"27,964340","8,416061","ms/op",q5
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkEstimate","avgt",1,5,"3,729460","2,016545","ms/op",q6
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkEstimate","avgt",1,5,"25,810120","7,952578","ms/op",q10
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkModify","avgt",1,5,"24,266080","4,071942","ms/op",q1
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkModify","avgt",1,5,"48,285180","4,606233","ms/op",q3
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkModify","avgt",1,5,"129,721560","36,882057","ms/op",q5
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkModify","avgt",1,5,"16,721200","2,541658","ms/op",q6
"de.tub.dima.mascara.experiments.EfficiencyOverhead.benchmarkModify","avgt",1,5,"57,703860","34,568110","ms/op",q10
