plan_id,utility_score
n-s-c_p2-o_p1-l_p2-r,11.89885234164174
n-s-c_p2-o_p1-l_p3-r,12.157420113122786
n-s-c_p2-o_p1-l_p1-r,12.636586440257869
n-s-c_p2-o_p2-l_p2-r,13.640803804304893
n-s-c_p2-o_p2-l_p3-r,13.94432772264646
n-s-c_p2-o_p2-l_p1-r,14.566139406236939
n-s-c_p1-o_p1-l_p2-r,18.824585833561187
n-s-c_p1-o_p1-l_p3-r,19.103747499209458
n-s-c_p1-o_p1-l_p1-r,19.559889071403358
n-s-c_p1-o_p2-l_p2-r,22.324662147800304
n-s-c_p1-o_p2-l_p3-r,22.64338639479091
n-s-c_p1-o_p2-l_p1-r,23.24999774973235
