plan_id,utility_score
o_p2-n-s-c_p2-r-l_p3,21.25819477044254
o_p2-n-s-c_p2-r-l_p2,22.387281349305457
o_p1-n-s-c_p2-r-l_p3,23.11712629165161
o_p1-n-s-c_p2-r-l_p2,24.241807599949745
o_p2-n-s-c_p2-r-l_p1,24.963277669048253
o_p1-n-s-c_p2-r-l_p1,26.80775335229161
o_p2-n-s-c_p1-r-l_p3,34.60903896044557
o_p2-n-s-c_p1-r-l_p2,35.738125539308484
o_p1-n-s-c_p1-r-l_p3,36.41588051616726
o_p1-n-s-c_p1-r-l_p2,37.5405618244654
o_p2-n-s-c_p1-r-l_p1,38.31412185905129
o_p1-n-s-c_p1-r-l_p1,40.10650757680727
