plan_id,utility_score
c_p2-o_p2-l_p3-n-s-r,21.031994122444214
c_p2-o_p2-l_p2-n-s-r,21.345726516810878
c_p2-o_p2-l_p1-n-s-r,22.629245890210434
c_p2-o_p1-l_p3-n-s-r,22.99538041646124
c_p2-o_p1-l_p2-n-s-r,23.307872073543585
c_p2-o_p1-l_p1-n-s-r,24.58631543193698
c_p1-o_p2-l_p3-n-s-r,34.40185412195186
c_p1-o_p2-l_p2-n-s-r,34.71558651631853
c_p1-o_p2-l_p1-n-s-r,35.99910588971809
c_p1-o_p1-l_p3-n-s-r,36.312365787510416
c_p1-o_p1-l_p2-n-s-r,36.62485744459276
c_p1-o_p1-l_p1-n-s-r,37.90330080298616
